route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color
C15Aa26,1,C15,Bachut - Mairie du 8ème --> Laurent Bonnevay,REG,3,778186
C15Ar26,1,C15,Laurent Bonnevay --> Bachut - Mairie du 8ème,REG,3,778186
C15Aa25,1,C15,Bachut - Mairie du 8ème --> Laurent Bonnevay,REG,3,778186
C15Ar25,1,C15,Laurent Bonnevay --> Bachut - Mairie du 8ème,REG,3,778186
C15Aa24,1,C15,Bachut - Mairie du 8ème --> Laurent Bonnevay,REG,3,778186
C15Ar24,1,C15,Laurent Bonnevay --> Bachut - Mairie du 8ème,REG,3,778186
C16Aa26,1,C16,Charpennes --> Surville Route de Vienne,REG,3,778186
C16Ar26,1,C16,Surville Route de Vienne --> Charpennes,REG,3,778186
C16Aa23,1,C16,Charpennes --> Surville Route de Vienne,REG,3,778186
C16Ar23,1,C16,Surville Route de Vienne --> Charpennes,REG,3,778186
C17Aa41,1,C17,Charpennes --> Porte des Alpes,REG,3,778186
C17Ar41,1,C17,Porte des Alpes --> Charpennes,REG,3,778186
C18Aa19,1,C18,Hôtel de Ville L. Pradel --> Croix-Rousse Nord,REG,3,778186
C18Ar19,1,C18,Croix-Rousse Nord --> Hôtel de Ville L. Pradel,REG,3,778186
C19Aa17,1,C19,Perrache --> Francheville Taffignon,REG,3,778186
C19Ar17,1,C19,Francheville Taffignon --> Perrache,REG,3,778186
C20Da12,1,C20,Bellecour Le Viste --> Francheville Taffignon,REG,3,778186
C20Dr12,1,C20,Francheville Taffignon --> Bellecour Le Viste,REG,3,778186
C20Da11,1,C20,Bellecour Le Viste --> Francheville Taffignon,REG,3,778186
C20Dr11,1,C20,Francheville Taffignon --> Bellecour Le Viste,REG,3,778186
C20Ea10,1,C20E,Bellecour Le Viste --> Fort du Bruissin,REG,3,6F4013
C20Er10,1,C20E,Fort du Bruissin --> Bellecour Le Viste,REG,3,6F4013
C20Ea9,1,C20E,Bellecour Le Viste --> Fort du Bruissin,REG,3,6F4013
C20Er9,1,C20E,Fort du Bruissin --> Bellecour Le Viste,REG,3,6F4013
C21Aa28,1,C21,Perrache --> Gorge de Loup,REG,3,778186
C21Ar28,1,C21,Gorge de Loup --> Perrache,REG,3,778186
C21Aa27,1,C21,Perrache --> Gorge de Loup,REG,3,778186
C21Ar27,1,C21,Gorge de Loup --> Perrache,REG,3,778186
C24Da5,1,C24,Gorge de Loup --> Craponne Val d'Yzeron,REG,3,778186
C24Dr5,1,C24,Craponne Val d'Yzeron --> Gorge de Loup,REG,3,778186
C24Ea3,1,C24E,Gorge de Loup --> Gymnase E.Catalon,REG,3,6F4013
C24Er3,1,C24E,Gymnase E.Catalon --> Gorge de Loup,REG,3,6F4013
C25Ba17,1,C25,Gare Part-Dieu V.Merle --> St-Priest Plaine Saythe,REG,3,778186
C25Br17,1,C25,St-Priest Plaine Saythe --> Gare Part-Dieu V.Merle,REG,3,778186
C26Aa19,1,C26,Cité Inter Transbordeur --> Grange Blanche,REG,3,778186
C26Ar19,1,C26,Grange Blanche --> Cité Inter Transbordeur,REG,3,778186
C26Aa17,1,C26,Cité Inter Transbordeur --> Grange Blanche,REG,3,778186
C26Ar17,1,C26,Grange Blanche --> Cité Inter Transbordeur,REG,3,778186
2Aa22,1,2,Croix-Rousse --> Plateaux de St Rambert,REG,3,E30613
2Ar22,1,2,Plateaux de St Rambert --> Croix-Rousse,REG,3,E30613
3Aa32,1,3,Gorge de Loup --> Dardilly Le Jubin,REG,3,E30613
3Ar32,1,3,Dardilly Le Jubin --> Gorge de Loup,REG,3,E30613
3Aa33,1,3,Gorge de Loup --> Limonest Le Puy d'Or,REG,3,E30613
3Ar33,1,3,Limonest Le Puy d'Or --> Gorge de Loup,REG,3,E30613
5Aa25,1,5,Pont Mouton --> Charbonnières Verrières,REG,3,E30613
5Ar25,1,5,Charbonnières Verrières --> Pont Mouton,REG,3,E30613
7Aa22,1,7,Laurent Bonnevay --> Vaulx Lakanal,REG,3,E30613
7Ar22,1,7,Vaulx Lakanal --> Laurent Bonnevay,REG,3,E30613
